aX,aY,aZ,gX,gY,gZ
0.779,-1.163,0.626,39.970,125.440,144.830
0.778,-1.091,0.625,35.840,118.790,149.310
0.672,-1.043,0.594,32.130,119.560,157.780
0.602,-0.973,0.526,30.590,116.830,162.890
0.487,-0.962,0.413,32.410,125.090,158.480
0.466,-0.930,0.483,28.070,117.810,166.110
0.387,-0.929,0.478,26.600,119.420,161.280
0.344,-0.912,0.457,25.130,114.730,162.680
0.347,-0.952,0.420,21.560,111.860,162.750
0.287,-0.992,0.429,13.720,111.440,149.240
0.262,-0.964,0.479,6.650,108.640,148.400
0.264,-0.916,0.502,-1.470,105.770,159.460
0.216,-0.830,0.491,-4.480,107.940,171.850
0.224,-0.834,0.559,-5.390,104.230,163.310
0.204,-0.776,0.564,-5.950,97.930,113.260
0.165,-0.614,0.503,-0.420,99.400,148.470
0.214,-0.654,0.489,2.870,97.230,160.930
0.142,-0.586,0.456,7.980,96.250,159.600
0.110,-0.557,0.444,13.650,92.820,158.200
0.123,-0.620,0.468,15.750,86.170,155.190
0.106,-0.623,0.458,17.710,83.370,151.130
0.091,-0.651,0.462,17.290,80.780,148.260
0.088,-0.682,0.472,16.940,79.380,145.810
0.089,-0.670,0.485,17.850,79.240,142.590
0.074,-0.690,0.474,17.990,78.610,139.580
0.069,-0.696,0.473,15.540,76.230,137.830
0.049,-0.717,0.453,13.930,73.640,136.290
0.038,-0.723,0.486,13.440,70.770,135.100
0.026,-0.764,0.504,12.950,68.950,133.420
0.023,-0.748,0.514,13.580,66.990,131.180
0.001,-0.773,0.524,14.980,66.360,128.450
-0.030,-0.746,0.498,16.380,66.780,126.490
-0.059,-0.719,0.494,16.520,66.570,124.390
-0.086,-0.744,0.525,18.970,66.080,121.030
-0.107,-0.710,0.558,23.310,67.200,118.790
-0.119,-0.738,0.594,25.690,67.480,115.920
-0.116,-0.789,0.595,28.700,69.090,113.050
-0.138,-0.790,0.600,31.850,71.470,109.270
-0.161,-0.741,0.563,35.420,73.780,105.770
-0.200,-0.708,0.562,40.530,75.390,103.040
-0.240,-0.762,0.610,43.120,77.980,100.940
-0.267,-0.729,0.550,45.710,80.080,98.350
-0.286,-0.745,0.575,43.960,82.740,89.530
-0.315,-0.874,0.541,37.730,90.860,77.070
-0.282,-0.724,0.504,35.210,87.500,94.710
-0.370,-0.778,0.522,31.570,89.950,91.980
-0.343,-0.835,0.516,25.270,89.950,82.670
-0.384,-0.759,0.481,20.580,88.130,79.870
-0.389,-0.756,0.451,13.020,87.150,68.530
-0.418,-0.746,0.447,8.120,84.840,69.370
