aX,aY,aZ,gX,gY,gZ
0.599,-1.773,-0.189,51.100,-11.970,111.860
0.674,-1.873,-0.146,23.380,-10.710,113.330
0.665,-1.896,-0.101,15.050,-31.430,130.760
0.680,-1.920,-0.108,-0.560,-32.830,135.380
0.675,-1.846,-0.089,-11.200,-53.410,147.350
0.575,-1.770,-0.061,-15.540,-39.900,158.970
0.536,-1.730,-0.053,-25.550,-37.800,167.160
0.460,-1.672,-0.038,-30.870,-40.740,179.130
0.429,-1.630,-0.012,-44.030,-40.320,190.960
0.421,-1.621,-0.018,-55.580,-39.060,197.960
0.409,-1.572,-0.018,-67.410,-38.220,205.240
0.391,-1.498,-0.025,-78.890,-37.030,211.470
0.343,-1.435,-0.008,-88.550,-35.210,216.230
0.325,-1.390,-0.005,-97.650,-31.640,217.700
0.276,-1.301,0.007,-104.160,-28.910,222.740
0.218,-1.225,0.009,-108.920,-27.930,225.960
0.191,-1.181,0.012,-114.870,-25.760,225.050
0.151,-1.134,0.019,-125.370,-22.610,222.390
0.113,-1.095,0.009,-130.270,-22.470,224.140
0.091,-1.081,-0.023,-138.110,-21.770,222.880
0.112,-1.081,-0.045,-145.460,-20.580,220.570
0.155,-1.062,-0.054,-151.830,-20.790,221.410
0.182,-1.039,-0.039,-169.820,-19.110,217.980
0.183,-1.014,-0.047,-187.110,-15.750,217.070
0.132,-0.936,-0.042,-192.780,-19.600,219.730
0.153,-0.879,-0.050,-203.840,-15.890,214.760
0.146,-0.797,-0.085,-202.440,-17.920,216.020
0.112,-0.714,-0.117,-200.690,-16.170,223.090
0.069,-0.644,-0.151,-195.440,-19.670,233.170
0.092,-0.605,-0.210,-196.420,-8.820,226.870
0.093,-0.509,-0.256,-197.610,10.150,214.620
0.075,-0.427,-0.249,-195.370,11.760,223.370
0.002,-0.411,-0.271,-190.540,3.990,231.280
0.077,-0.408,-0.309,-196.280,10.290,225.680
0.045,-0.376,-0.294,-187.880,5.250,232.610
0.083,-0.334,-0.320,-186.620,3.990,237.510
0.071,-0.283,-0.326,-171.220,-1.470,249.970
0.079,-0.285,-0.350,-161.770,1.260,248.570
0.085,-0.256,-0.371,-151.060,2.380,250.320
0.129,-0.241,-0.365,-142.940,0.560,248.990
0.138,-0.205,-0.359,-140.840,2.310,245.000
0.109,-0.166,-0.345,-137.340,-0.210,242.410
0.049,-0.103,-0.343,-135.450,3.570,237.370
0.021,-0.024,-0.350,-130.130,0.910,235.690
-0.036,0.040,-0.366,-122.920,0.910,235.130
-0.056,0.109,-0.432,-115.360,11.200,214.480
-0.070,0.202,-0.423,-113.190,16.870,212.240
-0.115,0.171,-0.405,-110.110,11.200,210.700
-0.089,0.130,-0.362,-113.890,-8.120,208.250
-0.045,0.106,-0.411,-117.950,-17.570,198.380
-0.051,0.208,-0.429,-119.070,-28.210,196.210
-0.062,0.285,-0.462,-120.050,-37.520,190.680
-0.090,0.339,-0.499,-127.190,-42.280,175.700
-0.127,0.425,-0.515,-127.330,-49.420,164.360
-0.161,0.513,-0.497,-120.120,-55.020,155.540
-0.176,0.572,-0.487,-118.860,-58.380,147.560
-0.228,0.586,-0.515,-120.470,-59.570,138.250
-0.260,0.610,-0.539,-117.880,-62.790,128.730
-0.279,0.692,-0.565,-110.180,-61.810,116.690
-0.316,0.795,-0.595,-103.180,-60.550,108.920
-0.348,0.836,-0.623,-99.260,-60.550,99.680
-0.372,0.883,-0.643,-101.500,-61.810,88.760
-0.398,0.885,-0.671,-107.380,-65.310,75.110
-0.458,1.003,-0.493,-123.970,-74.060,66.220
-0.363,1.195,-0.399,-117.670,-79.380,63.070
0.063,0.793,-0.850,-98.980,-80.430,18.200
-0.453,1.164,-0.745,-88.550,-59.010,23.240
-0.934,1.351,-0.750,-55.160,-29.680,12.390
-0.962,1.496,-0.649,-18.620,-9.030,3.360
-0.908,1.312,-0.630,2.800,3.710,-8.120
-0.844,1.106,-0.619,6.580,2.730,-18.760
-0.884,1.042,-0.600,1.260,-2.240,-29.050
-0.906,0.879,-0.617,-6.020,-7.560,-37.800
-0.884,0.764,-0.610,-14.280,-15.470,-41.650
-0.875,0.600,-0.628,-29.400,-23.660,-43.260
-0.855,0.482,-0.680,-42.420,-29.260,-47.670
-0.905,0.470,-0.722,-53.200,-35.490,-48.230
-0.953,0.462,-0.771,-60.270,-35.560,-47.530
-0.964,0.431,-0.802,-65.940,-34.300,-43.610
-0.953,0.396,-0.809,-71.750,-31.710,-39.830
-0.933,0.357,-0.797,-73.990,-27.790,-37.310
-0.912,0.334,-0.773,-72.450,-23.100,-33.740
-0.906,0.328,-0.730,-67.620,-18.690,-29.890
-0.878,0.309,-0.680,-61.180,-15.470,-25.830
-0.853,0.278,-0.651,-54.810,-13.580,-21.700
-0.834,0.266,-0.623,-52.290,-12.390,-19.670
-0.825,0.250,-0.612,-51.590,-11.200,-19.180
-0.802,0.256,-0.599,-52.010,-11.340,-17.850
-0.788,0.274,-0.596,-52.290,-10.780,-16.940
-0.780,0.322,-0.593,-52.430,-9.450,-15.330
-0.783,0.392,-0.600,-51.590,-5.880,-15.050
-0.773,0.442,-0.591,-51.870,-2.450,-16.380
-0.772,0.504,-0.567,-50.470,-0.490,-17.430
-0.760,0.549,-0.540,-53.760,-2.170,-18.970
-0.776,0.567,-0.539,-55.720,-3.220,-23.450
-0.801,0.664,-0.524,-57.540,-2.100,-33.110
